id,title,issn,descrip,thumbnail,thumbnail_extension
10074,"Marvel Comics Presents (1988) #157",157,,http://i.annihil.us/u/prod/marvel/i/mg/5/b0/4bad1731761e0,"jpg"
10075,"Marvel Comics Presents (1988) #158",158,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10078,"Marvel Comics Presents (1988) #160",160,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10079,"Marvel Comics Presents (1988) #161",161,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1008,"Spider-Man: The Death of Gwen Stacy (Trade Paperback)",0,"In this shocking and moving story, the Green Goblin and Spider-Man face off atop the George Washington Bridge, with Gwen's life hanging in the balance.",http://i.annihil.us/u/prod/marvel/i/mg/9/90/4bc66d662a58c,"jpg"
10083,"Marvel Comics Presents (1988) #165",165,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10084,"Marvel Comics Presents (1988) #166",166,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1009,"Startling Stories: Banner (Trade Paperback)",0,"Tormented by his unstoppable alter ego, Bruce Banner has nowhere to hide. Having located the man-like monstrosity that is the Hulk in the New Mexico desert, gamma-irradiated government operative Doc Samson prepares his troops for a cataclysmic confrontati",http://i.annihil.us/u/prod/marvel/i/mg/6/20/4bc66d6162b43,"jpg"
10090,"Marvel Comics Presents (1988) #171",171,,http://i.annihil.us/u/prod/marvel/i/mg/5/70/57f413b403b0a,"jpg"
10093,"Marvel Comics Presents (1988) #174",174,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10094,"Marvel Comics Presents (1988) #175",175,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1010,"U.S. War Machine Vol. I (Trade Paperback)",0,"Fired by Tony Stark and recruited by S.H.I.E.L.D., James Rhodes must lead a team of rookies against the evil alliance known as A.I.M. and the carnage begins with a team of War Machines!",http://i.annihil.us/u/prod/marvel/i/mg/c/d0/4bc66d5cd569c,"jpg"
10108,"Marvel Comics Presents (1988) #3",3,,http://i.annihil.us/u/prod/marvel/i/mg/6/60/4bb68ac567144,"jpg"
10117,"Marvel Comics Presents (1988) #38",38,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10118,"Marvel Comics Presents (1988) #39",39,,http://i.annihil.us/u/prod/marvel/i/mg/6/d0/4c7d5186f05b9,"jpg"
10123,"Marvel Comics Presents (1988) #43",43,,http://i.annihil.us/u/prod/marvel/i/mg/d/00/4c36530751820,"jpg"
10125,"Marvel Comics Presents (1988) #45",45,,http://i.annihil.us/u/prod/marvel/i/mg/2/e0/4c36561a05a55,"jpg"
10126,"Marvel Comics Presents (1988) #46",46,,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4c3652fbb311e,"jpg"
10127,"Marvel Comics Presents (1988) #47",47,,http://i.annihil.us/u/prod/marvel/i/mg/3/50/4c3652f6905c0,"jpg"
10129,"Marvel Comics Presents (1988) #49",49,,http://i.annihil.us/u/prod/marvel/i/mg/9/60/4c3652ec63d7b,"jpg"
10131,"Marvel Comics Presents (1988) #50",50,,http://i.annihil.us/u/prod/marvel/i/mg/3/a0/4c3646731bf57,"jpg"
10133,"Marvel Comics Presents (1988) #52",52,,http://i.annihil.us/u/prod/marvel/i/mg/c/50/4bc3357d43fce,"jpg"
10134,"Marvel Comics Presents (1988) #53",53,,http://i.annihil.us/u/prod/marvel/i/mg/3/70/4c3652e781d51,"jpg"
10135,"Marvel Comics Presents (1988) #54",54,,http://i.annihil.us/u/prod/marvel/i/mg/3/30/4c3652e2941a5,"jpg"
10136,"Marvel Comics Presents (1988) #55",55,,http://i.annihil.us/u/prod/marvel/i/mg/6/70/4c3652dd90e36,"jpg"
10137,"Marvel Comics Presents (1988) #56",56,,http://i.annihil.us/u/prod/marvel/i/mg/9/80/4bb682d73c49a,"jpg"
10139,"Marvel Comics Presents (1988) #58",58,,http://i.annihil.us/u/prod/marvel/i/mg/3/c0/4c3652d069f65,"jpg"
10140,"Marvel Comics Presents (1988) #59",59,,http://i.annihil.us/u/prod/marvel/i/mg/3/e0/4c3652b759e37,"jpg"
10141,"Marvel Comics Presents (1988) #6",6,,http://i.annihil.us/u/prod/marvel/i/mg/a/00/4bb691892ecc9,"jpg"
10142,"Marvel Comics Presents (1988) #60",60,,http://i.annihil.us/u/prod/marvel/i/mg/2/80/4c3652b262a30,"jpg"
10143,"Marvel Comics Presents (1988) #61",61,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10144,"Marvel Comics Presents (1988) #62",62,,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c3651a5ac2d1,"jpg"
10145,"Marvel Comics Presents (1988) #63",63,,http://i.annihil.us/u/prod/marvel/i/mg/e/b0/4f68ccaeac011,"jpg"
10149,"Marvel Comics Presents (1988) #67",67,,http://i.annihil.us/u/prod/marvel/i/mg/2/90/4c7d50c006134,"jpg"
10150,"Marvel Comics Presents (1988) #68",68,,http://i.annihil.us/u/prod/marvel/i/mg/6/60/4c365162e6a9b,"jpg"
10151,"Marvel Comics Presents (1988) #69",69,,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c36515dd50b3,"jpg"
10152,"Marvel Comics Presents (1988) #7",7,,http://i.annihil.us/u/prod/marvel/i/mg/6/30/4bb6918243bd3,"jpg"
10153,"Marvel Comics Presents (1988) #70",70,,http://i.annihil.us/u/prod/marvel/i/mg/6/60/4c365158a1f7c,"jpg"
10154,"Marvel Comics Presents (1988) #71",71,,http://i.annihil.us/u/prod/marvel/i/mg/6/50/4c361ef117d74,"jpg"
10163,"Marvel Comics Presents (1988) #8",8,,http://i.annihil.us/u/prod/marvel/i/mg/c/70/4bb6917bbe7d3,"jpg"
10167,"Marvel Comics Presents (1988) #83",83,,http://i.annihil.us/u/prod/marvel/i/mg/3/30/4c36510d526f5,"jpg"
10168,"Marvel Comics Presents (1988) #84",84,,http://i.annihil.us/u/prod/marvel/i/mg/3/d0/4c36258c69f23,"jpg"
10169,"Marvel Comics Presents (1988) #85",85,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1017,"Ultimate X-Men Vol. I (Hardcover)",0,"The X-Men use their genetic gifts to protect a world that fears and hates them from other mutants who would use their powers for evil. Includes material from Ultimate X-Men Vol. 1: The Tomorrow People trade paperback and Ultimate X-Men Vol. 2: Weapon X tr",http://i.annihil.us/u/prod/marvel/i/mg/c/00/4bc66bfa529a0,"jpg"
10170,"Marvel Comics Presents (1988) #86",86,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10172,"Marvel Comics Presents (1988) #88",88,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10173,"Marvel Comics Presents (1988) #89",89,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10174,"Marvel Comics Presents (1988) #9",9,,http://i.annihil.us/u/prod/marvel/i/mg/c/50/4bb6916c2f4be,"jpg"
10175,"Marvel Comics Presents (1988) #90",90,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10176,"Marvel Comics Presents (1988) #91",91,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10177,"Marvel Comics Presents (1988) #92",92,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10178,"Marvel Comics Presents (1988) #93",93,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10179,"Marvel Comics Presents (1988) #94",94,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1018,"Ultimate X-Men Vol. I: The Tomorrow People (Trade Paperback)",0,"Driven by a dream of peace, Professor X forges his X-Men into a strike force capable of defending the Earth from the evil of Magneto and his Brotherhood of Mutants.",http://i.annihil.us/u/prod/marvel/i/mg/6/50/4bc66bf590162,"jpg"
10181,"Marvel Comics Presents (1988) #96",96,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10183,"Marvel Comics Presents (1988) #98",98,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10185,"Marvel Mangaverse (2002) #1",1,,http://i.annihil.us/u/prod/marvel/i/mg/1/90/5a2eb2ebae50e,"jpg"
10187,"Marvel Mangaverse (2002) #3",3,,http://i.annihil.us/u/prod/marvel/i/mg/c/80/5a2eb3da982d9,"jpg"
10189,"Marvel Mangaverse (2002) #5",5,,http://i.annihil.us/u/prod/marvel/i/mg/6/c0/5a2eb4e809882,"jpg"
